entrez_mouse	ensembl_gene_id	gene_symbol	entrez_human	entrez_rat	Unirprot_Human	Uniprot_Rat	Uniprot_mouse	gene_name	synonym	DbTF	pubmed_id	evidence.type	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi.et.al	TcoF.DB	TFCat	TFClass_human	TFclass_mouse	Vaquerizas.et.al	pubmed_id.1	taxon	pubmed_id.2	taxon.1	pubmed_id.3	taxon.2	pubmed_id.4	taxon.3	pubmed_id.5	taxon.4	pubmed_id.6	taxon.5	GOC981.select_EC
13711	ENSMUSG00000027186	ELF5	2001	366142	A8K443,Q9UKW6	D4A3N9	Q3ULZ4,Q3V1F7,Q8VDK3	E74-like factor 5 (ets domain transcription factor)	ESE2	yes	9840936, 10506207	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	10506207	9606	9840936	10090	0	0	0	0	0	0	0	0	981
21416	ENSMUSG00000024985	TCF7L2	6934	679869	B4DJZ2,C6ZRJ7,C6ZRJ9,C6ZRK1,C6ZRK2,C6ZRK5,E2GH13,E2GH16,E2GH18,E2GH26,Q6FHW4,Q9NQB0	0	D3YWT3,E9Q990,E9QQ90,E9QQ91,Q80WT9,Q8BS68,Q8CAI6,Q924A0	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF-4|TCF4	yes	9727977, 15576399	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15576399	10090	9727977	9606	0	0	0	0	0	0	0	0	981
56711	ENSMUSG00000003282	PLAG1	5324	297804	Q6DJT9	Q5U2T6	Q9QYE0	pleiomorphic adenoma gene 1	PSA|SGPA|ZNF912	yes	9722527, 10646861	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	10646861	9606	9722527	9606	0	0	0	0	0	0	0	0	981
18091	ENSMUSG00000015579	NKX2-5	1482	114109	P52952	O35767	P42582,Q3UQU2	NK2 homeobox 5	CHNG5|CSX|CSX1|HLHS2|NKX2.5|NKX2E|NKX4-1|VSD3	yes	9584181, 10318839	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	10318839	9606;10090	9584181	10090;10116	0	0	0	0	0	0	0	0	981
18181	ENSMUSG00000058440	NRF1	4899	312195	Q16656	B1WC04	E9Q7X0,G3XA39,Q3UXF4,Q3UYQ3,Q8C4C0,Q8CAV3,Q99K73,Q9WU00	nuclear respiratory factor 1	ALPHA-PAL	yes	9580677, 19674972	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19674972	9606	9580677	10090	0	0	0	0	0	0	0	0	981
14461	ENSMUSG00000015053	GATA2	2624	25159	P23769	B2DBE1,Q924Y4	O09100,Q3U320	GATA binding protein 2	DCML|MONOMAC|NFE1B	yes	9565596, 14512418	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	14512418	9606;10116	9565596	9606	0	0	0	0	0	0	0	0	981
16600	ENSMUSG00000003032	KLF4	9314	114505	O43474	Q923V7	F2YID5,Q60793	Kruppel-like factor 4 (gut)	EZF|GKLF	yes	9443972, 9553140, 10556311	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	10556311	10090	9553140	9606	9443972	generic	0	0	0	0	0	0	981
20375	ENSMUSG00000002111	SPI1	6688	366126	P17947	Q6BDS1	P17433,Q3U5L4	spleen focus forming virus (SFFV) proviral integration oncogene spi1	OF|PU.1|SFPI1|SPI-1|SPI-A	yes	9211934, 10523830	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	10523830	9606	9211934	9606	0	0	0	0	0	0	0	0	981
13983	ENSMUSG00000021055	ESR2	2100	25149	F1D8N3,Q0PTK2,Q7LCB3,Q92731	Q59IV8,Q62986	O08537	estrogen receptor 2 (ER beta)	ER-BETA|ESR-BETA|ESRB|ESTRB|ERB|NR3A2	yes	9058381, 12047722, 16484337	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16484337	9606	12047722	9606	9058381	10090	0	0	0	0	0	0	981
14281	ENSMUSG00000021250	FOS	2353	314322	P01100,Q6FG41	P12841	P01101	FBJ murine osteosarcoma viral oncogene homolog	AP-1|C-FOS|P55	yes	8798512, 11925568, 15073183	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15073183	10090	11925568	9606;10090	8798512	9606	0	0	0	0	0	0	981
22337	ENSMUSG00000022479	VDR	7421	24873	F1D8P8,P11473	P13053	P48281	vitamin D (1,25- dihydroxyvitamin D3) receptor	NR1I1	yes	8674817, 16750418	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16750418	9606	8674817	9606	0	0	0	0	0	0	0	0	981
21405	ENSMUSG00000029556	HNF1A	6927	24817	P20823	P15257	P22361,Q66JY7	HNF1 homeobox A	HNF-1A|HNF1|IDDM20|LFB1|MODY3|TCF-1|TCF1	yes	8373770, 9047360	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	9047360	9606;10090	8373770	10116	0	0	0	0	0	0	0	0	981
13653	ENSMUSG00000038418	EGR1	1958	24330	P18146,Q546S1	P08154	P08046,Q544D6,Q8CAT6	early growth response 1	AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225	yes	8336701, 9858508	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	9858508	9606;10090	8336701	generic	0	0	0	0	0	0	0	0	981
18019	ENSMUSG00000027544	NFATC2	4773	311658	B5B2P4,Q13469	D4A0I8	A2AQC8,B5B2P6,B5B2P7,B5B2P8,B5B2Q2,B5B2Q4,B5B2Q6,B5B2R5,Q3TTU8,Q60591,Q8C443	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	NFAT1|NFATP	yes	8313907, 8397339, 10692237, 12453415, 14688323	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	14688323	10090	12453415	10090	10692237	9606	8397339	10090	8313907	10090	0	0	981
18071	ENSMUSG00000051251	NHLH1	4807	289230	Q02575,Q5T203	D3ZN93	Q02576,Q3UEV3	nescient helix loop helix 1	HEN1|NSCL|NSCL1|BHLHA35	yes	8289804, 12878195	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	12878195	9606	8289804	10116	0	0	0	0	0	0	0	0	981
21674	ENSMUSG00000069036	SRY	6736	25221	A7WPU8,Q05066	Q9ERV8	Q05738,Q53WV7	sex determining region Y	SRXX1|SRXY1|TDF|TDY	yes	7813448, 8190643	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	8190643	9606	7813448	9606	0	0	0	0	0	0	0	0	981
14283	ENSMUSG00000024912	FOSL1	8061	25445	P15407	P10158	P48755,Q3UMK5	FOS-like antigen 1	FRA|FRA1|FRA-1	yes	7791782, 15608675	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15608675	9606	7791782	10116	0	0	0	0	0	0	0	0	981
15375	ENSMUSG00000035451	FOXA1	3169	25098	P55317	P23512	P35582	forkhead box A1	HNF3A|TCF3A	yes	2227418, 15485926, 20018680	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20018680	9606	15485926	10116	2227418	10116	0	0	0	0	0	0	981
